lat,lon,flow,size,address,inservice,notes,dryhydrant,outservicedate
42.13548,-89.27945,1406,,"721 Kristi Dr, Byron, IL 61010, United States",,G25,,
42.13762,-89.27948,1300,,"835 Kristi Dr, Byron, IL 61010, United States",,G27,,
42.128335,-89.2472792,1444,,"1200 Kysor Dr, Byron, IL 61010, United States",,H06,,
42.12827996148062,-89.24669544334421,1286,,100–132 Kysor Dr Byron IL 61010 United States,,H08,,
42.12941,-89.24021,,,"1255 Kysor Dr, Byron, IL 61010, United States",,H09,,
42.12862,-89.23996,1286,,"1273 Kysor Dr, Byron, IL 61010, United States",,H10,,
42.12841370110909,-89.24004966754414,1444,,1273 Kysor Dr Byron IL 61010 United States,,H12,,
42.12642,-89.24639,1517,,"130 Kysor Dr, Byron, IL 61010, United States",,H07,,
42.1298,-89.23953,1444,,"1360 Kysor Dr, Byron, IL 61010, United States",,H10.5,,
42.1285125,-89.239739,1469,,"1513 Kysor Dr, Byron, IL 61010, United States",,H12.5,,
42.1266507,-89.2617614,1314,,"200 N Lafayette St, Byron, IL 61010, United States",,D03,,
42.12263,-89.26106,1169,,"233 S Lafayette St, Byron, IL 61010, United States",,B08,,
42.130909763094486,-89.24803690396266,1243,,531 Luther Dr Byron IL 61010 United States,,H23,,
42.1306186,-89.2470684,1493,,"639 Luther Dr, Byron, IL 61010, United States",,H14,,
42.125249,-89.2695312,434,,"100 N Maple Ave, Byron, IL 61010, United States",,D08,,
42.123690330914435,-89.27013346318216,0,,"127 S Maple Ave, Byron, IL 61010, USA",,C13,,
42.12259428784781,-89.27028990415556,1564,,148 S Maple Ave Byron IL 61010 United States,,C14,,
42.13911485859377,-89.27606118935626,1738,,"1402 Marijon Dr, Byron, IL 61010, USA",,F55,,
42.1404,-89.27429,1717,,"1302 Marijon Dr, Byron, IL 61010, United States",,F54,,
42.13892,-89.2762,1738,,"1402 Marijon Dr, Byron, IL 61010, United States",,F53,,
42.1255909,-89.2528715,,,"100 N Market St, Byron, IL 61010, United States",,B02,,
42.1270642,-89.2525664,1286,,"221 N Market St, Byron, IL 61010, United States",,A01,,
42.12920507580749,-89.253026376982,1243,,"239 E 4th St, Byron, IL 61010, USA",,H16,,
42.1239609,-89.2591044,1314,,"300 W Merchant St, Byron, IL 61010, United States",,B07,,
42.13796,-89.26949,1341,,"E Mill Rd, Byron, IL 61010, United States",,J15,,
42.13796,-89.26949,1419,,"E Mill Rd, Byron, IL 61010, United States",,J01,,
42.1372,-89.28236,1272,,"2793 E Mill Rd, Byron, IL 61010, United States",,G28,,
42.13722,-89.27455,1314,,"3221 E Mill Rd, Byron, IL 61010, United States",,G06,,
42.13675,-89.27182,1354,,"3313 E Mill Rd, Byron, IL 61010, United States",,G05,,
42.13637,-89.27017,1300,,"3361 E Mill Rd, Byron, IL 61010, United States",,G04,,
42.1381149,-89.2683808,1169,,"3486 E Mill Rd, Byron, IL 61010, United States",,G03,,
42.137877766029625,-89.2680268834711,1199,,3503–3599 E Mill Rd Byron IL 61010 United States,,G02,,
42.1381241,-89.2654827,1587,,"3500 E Mill Rd, Byron, IL 61010, United States",,G01,,
42.12924,-89.2739,1529,,"427 Mill Ridge Dr, Byron, IL 61010, United States",,C29,,
42.13063,-89.27393,1587,,"523 Mill Ridge Dr, Byron, IL 61010, United States",,C30,,
42.12928663366967,-89.2497648108199,1229,,"401 N Mineral St, Byron, IL 61010, USA",,H18,,
42.13048114593661,-89.24981174947766,1258,,"507 N Mineral St, Byron, IL 61010, USA",,H22,,
42.14096,-89.26167,1587,,"3866 E Mockingbird Ln, Byron, IL 61010, United States",,F26,,
42.14098,-89.26005,1717,,"3954 E Mockingbird Ln, Byron, IL 61010, United States",,F25,,
42.13618,-89.28215,1393,,"741 Oaks Ln, Byron, IL 61010, United States",,G30,,
42.09367,-89.31248,0,,"E Oakwood Dr, Byron, IL 61010, United States",,I37,,
42.13951,-89.28565,1444,,"1055 Old Hunter Run, Byron, IL 61010, United States",,J20,,
42.14028,-89.28569,1243,,"1125 Old Hunter Run, Byron, IL 61010, United States",,J21,,
42.14084,-89.28721,1444,,"1175 Old Hunter Run, Byron, IL 61010, United States",,J22,,
42.13637,-89.28539,1481,,"813 Old Hunter Run, Byron, IL 61010, United States",,J10,,
42.1354,-89.27704,1432,,"739 Oxford Dr, Byron, IL 61010, United States",,G33,,
42.09281,-89.30929,1505,,"311 E South Park Dr, Byron, IL 61010, United States",,I28,,
42.12336935781272,-89.26544179160683,1393,,803 Park Dr Byron IL 61010 United States,,C11,,
42.136957561138495,-89.28149638364067,1367,,"1848 Penny Ln, Byron, IL 61010, USA",,G29,,
