Project,Address,Street,Suite,Eng. Co.,Assigend Shift
quality accounting & tax service,10016,OFFICE CENTER AVE,102,1730,B
mci printing,10017,OFFICE CENTER AVE,,1730,B
Perferred Family Health Care,10024,OFFICE CENTER AVE,100,1730,B
antimite,10024,OFFICE CENTER AVE,125,1730,B
king commercial credit,10024,OFFICE CENTER AVE,150,1730,B
vAcant,10024,OFFICE CENTER AVE,200,1730,B
school tube,10024,OFFICE CENTER AVE,202,1730,B
welsch & hubble law offices,10024,OFFICE CENTER AVE,203 ,1730,B
UTILIMAP,10025,OFFICE CENTER AVE,,1730,B
Lindbergh ECE West,9011,ROBYN RD,,1730,B
season's spa & salon,01,RONNIES PLZ,,1730,B
E. T.'s House of rock,05....06,RONNIES PLZ,,1730,B
cold stone  creamery,07,RONNIES PLZ,,1730,B
tropix,08,RONNIES PLZ,,1730,B
st. john's mercy/medical doctors,10,RONNIES PLZ,,1730,B
james mcgivney,11,RONNIES PLZ,,1730,B
vacant,12,RONNIES PLZ,,1730,B
"terry egan, dds, Periodontist",13,RONNIES PLZ,,1730,B
dr. blumenfeld,14,RONNIES PLZ,,1730,B
us cleaners,15,RONNIES PLZ,,1730,B
edward jones,16,RONNIES PLZ,,1730,B
vacant,17,RONNIES PLZ,,1730,B
performance,18,RONNIES PLZ,,1730,B
MISSOURI LICENSE OFFICE,19,RONNIES PLZ,,1730,B
TEACHER'S LOUNGE,21....26,RONNIES PLZ,,1730,B
south county license office,27,RONNIES PLZ,,1730,B
lab corp,28,RONNIES PLZ,,1730,B
simply mathematics - south,29,RONNIES PLZ,,1730,B
T J MAXX,32,RONNIES PLZ,,1730,B
subway sandwiches,38,RONNIES PLZ,,1730,B
Three Kings Public House,40,RONNIES PLZ,,1730,B
MASSMAN CONSTRUCTION,12412,ROTT RD,,1730,B
SUNSET COUNTRY CLUB,9555,S GEYER RD,,1730,B
VACANT,1430,S KIRKWOOD RD,,1730,B
conoco SERVICE STATION,1500,S KIRKWOOD RD,,1730,B
Hampton Inn,1580,S KIRKWOOD RD,,1730,B
Toys 'r' us,3600,S LINDBERGH BLVD,,1730,B
ROSS DRESS FOR LESS,3614,S LINDBERGH BLVD,,1730,B
The Tile Shop,3628,S LINDBERGH BLVD,,1730,B
longhorn steakhouse,3642,S LINDBERGH BLVD,,1730,B
HELEN FITZGERALD'S irish grill & pub,3650,S LINDBERGH BLVD,,1730,B
Days Inn, 3654,S LINDBERGH BLVD,,1730,B
AMEREN UE education center,3700,S LINDBERGH BLVD,,1730,B
st. louis electrical board,3700,S LINDBERGH BLVD,E,1730,B
american home mortgage,3701,S LINDBERGH BLVD,200,1730,B
g s t corporation (NYK Logistics),3701,S LINDBERGH BLVD,201,1730,B
vacant,3701,S LINDBERGH BLVD,203,1730,B
Supply Velocity,3701,S LINDBERGH BLVD,205,1730,B
Security Title Insurance,3701,S LINDBERGH BLVD,208,1730,B
MISSOURI STATE BANK-operations ctr.,3701,S LINDBERGH BLVD,LOWER,1730,B
MISSOURI STATE BANK,3701,S LINDBERGH BLVD,LOWER ,1730,B
COUNTY SQUIRE CLEANERS,3729,S LINDBERGH BLVD,101,1730,B
tokyo sushi,3729,S LINDBERGH BLVD,102 & 103,1730,B
VACANT,3730,S LINDBERGH BLVD,,1730,B
COMFORT INN, 3730,S LINDBERGH BLVD,,1730,B
GIANINO'S,3735,S LINDBERGH BLVD,,1730,B
CUSTOM CONCEPTS,3739,S LINDBERGH BLVD,,1730,B
AUTOTIRE CAR CARE CENTER,3742,S LINDBERGH BLVD,,1730,B
vacant,3804,S LINDBERGH BLVD,,1730,B
EVOLVE FITNESS,3808,S LINDBERGH BLVD,102&103,1730,B
pioneer sports medicine,3808,S LINDBERGH BLVD, 105,1730,B
PREMIER PILATES,3808 ,S LINDBERGH BLVD,101 ,1730,B
Trans Tech leasing,3808 ,S LINDBERGH BLVD,106,1730,B
growler's pub,3811,S LINDBERGH BLVD,,1730,B
richey's,3819,S LINDBERGH BLVD,,1730,B
coldwell banker gundaker,3828,S LINDBERGH BLVD,101...102,1730,B
ORECK VACUUM,3828,S LINDBERGH BLVD,103,1730,B
sunshine,3828,S LINDBERGH BLVD,104...105,1730,B
huelsman jewelers,3828,S LINDBERGH BLVD,106,1730,B
Edward jones,3828,S LINDBERGH BLVD,107,1730,B
A. J. BORZILLO CONSTruction,3828,S LINDBERGH BLVD,108,1730,B
stallone tuxedo rental,3828,S LINDBERGH BLVD,109,1730,B
regal nail salon,3828,S LINDBERGH BLVD,110,1730,B
THE WINE BARREL,3828,S LINDBERGH BLVD,111,1730,B
penn station - east coast subs,3828,S LINDBERGH BLVD,112...113,1730,B
sunset eye care,3828,S LINDBERGH BLVD,114,1730,B
ceramics & more,3828,S LINDBERGH BLVD,115...116,1730,B
o'leary's,3828,S LINDBERGH BLVD,117...118,1730,B
vacant,3841,S LINDBERGH BLVD,,1730,B
missouri baptist medical center,3844,S LINDBERGH BLVD,,1730,B
ct/mri scan,3844,S LINDBERGH BLVD,100,1730,B
quest diagnostics,3844,S LINDBERGH BLVD,110,1730,B
mo. baptist hematology oncology,3844,S LINDBERGH BLVD,130,1730,B
radiology,3844,S LINDBERGH BLVD,140,1730,B
family care,3844,S LINDBERGH BLVD,150,1730,B
kirkwood medical group,3844,S LINDBERGH BLVD,160,1730,B
specialist in ob/gyn,3844,S LINDBERGH BLVD,200,1730,B
multi-specialty ,3844,S LINDBERGH BLVD,200,1730,B
sunset hills adult medicine,3844,S LINDBERGH BLVD,210,1730,B
"st, louis orthopedic inst",3844,S LINDBERGH BLVD,235,1730,B
sunset dermatology,3844,S LINDBERGH BLVD,240,1730,B
Vantage Credit Union,3860,S LINDBERGH BLVD,101,1730,B
Help-U-Sell Gateway (Scott Hagerty),3860,S LINDBERGH BLVD,104,1730,B
Jimmy John's Gourmet Sandwiches,3860,S LINDBERGH BLVD,105,1730,B
U. S. Cellular,3860,S LINDBERGH BLVD,106,1730,C
SOUND HEALTH,3860,S LINDBERGH BLVD,108,1730,C
Salon Moxi,3860,S LINDBERGH BLVD,110,1730,C
enterprise bank,3890,S LINDBERGH BLVD,100,1730,C
vacant,3890,S LINDBERGH BLVD,105,1730,C
edward jones,3890,S LINDBERGH BLVD,110,1730,C
bankhead & firth,3890,S LINDBERGH BLVD,115,1730,C
swink Fiehler & Co.,3890,S LINDBERGH BLVD,200,1730,C
stone bridge,3890,S LINDBERGH BLVD,210,1730,C
VACANT,3890,S LINDBERGH BLVD,220,1730,C
vacant,3890,S LINDBERGH BLVD,230,1730,C
SUNSET HILLS police department,3905,S LINDBERGH BLVD,,1730,C
SUNSET HILLS public works,3909,S LINDBERGH BLVD,,1730,C
SUNSET HILLS COMMUNITY CENTER,3915,S LINDBERGH BLVD,,1730,C
SUNSET HILLS CITY HALL,3939,S LINDBERGH BLVD,,1730,C
ST. THOMAS holy spirit LUTHERAN CHURCH, 3980,S LINDBERGH BLVD,,1730,C
ST. THOMAS holy spirit learning ctr., 3980,S LINDBERGH BLVD,,1730,C
THOMAS JEFFERSON SCHOOL, 4100,S LINDBERGH BLVD,,1730,C
childtime learning center, 4320,S LINDBERGH BLVD,,1730,C
vacant,4328,S LINDBERGH BLVD,,1730,C
ANTHONY TAILORING,4343,S LINDBERGH BLVD,1 & 2,1730,C
MUELLER & NEFF REAL ESTATE,4400,S LINDBERGH BLVD,1,1730,C
appraisals limited,4400,S LINDBERGH BLVD,2,1730,C
mayer design group,4400,S LINDBERGH BLVD,3,1730,C
acs - assessment & counseling solutions,4400,S LINDBERGH BLVD,4,1730,C
energy concepts & solutions,4400,S LINDBERGH BLVD,5 ,1730,C
headway financial group,4400,S LINDBERGH BLVD,6,1730,C
L.A. RAYS TANNING SPA,4450,S LINDBERGH BLVD,,1730,C
mo. state probation & parole office,4452,S LINDBERGH BLVD,,1730,C
EMPEROR'S WOK south,4454,S LINDBERGH BLVD,,1730,C
emperor's wok - storage,4454,S LINDBERGH BLVD,basement,1730,C
ST. LOUIS COUNTY COMMUNitY SERVICES INC.,4456,S LINDBERGH BLVD,,1730,C
gravois and lindbergh 66,4466,S LINDBERGH BLVD,,1730,C
SUNSET AQUATECH POOLS,4471,S LINDBERGH BLVD,,1730,C
amoco,4504,S LINDBERGH BLVD,,1730,C
2 HEARTS BANQUET CENTER,4532,S LINDBERGH BLVD,,1730,C
SOUTH COUNTY HEALTH DEPARTMENT #125,4580,S LINDBERGH BLVD,,1730,C
Advanced Surgical Care of Sunset Hills,4590,S LINDBERGH BLVD,,1730,C
Edward jones,4590,S LINDBERGH BLVD,Front,1730,C
institute for family medicine,4590,S LINDBERGH BLVD,Front & Basement-Ed. Ctr.,1730,C
DOCS 4 KID PC,4590,S LINDBERGH BLVD,Rear,1730,C
dianna heffernan electrologist,4590,S LINDBERGH BLVD,Side,1730,C
,4600,S LINDBERGH BLVD,1,1730,C
"EDWard l. ACREE, DDS",4600,S LINDBERGH BLVD,2,1730,C
sunset hills chiropractic llc,4600,S LINDBERGH BLVD,3,1730,C
PEANUT GALLERY, 4601,S LINDBERGH BLVD,,1730,C
MILLER & MILLER INSURANCE,4615,S LINDBERGH BLVD,,1730,C
"QUALITY SEAMLESS GUTTERING, INC.",4615,S LINDBERGH BLVD,,1730,C
GATEWAY HOUSE OF PRAYER, 4646,S LINDBERGH BLVD,,1730,C
S & S Financial Services,4700,S LINDBERGH BLVD,,1730,C
MFPD House 3,4811,S LINDBERGH BLVD,,1730,C
Lindbergh Early Childhood Education Center,4814,S LINDBERGH BLVD,,1730,C
LIFE IN CHRIST CHURCH, 4849,S LINDBERGH BLVD,,1730,C
LIFE IN CHRIST OUTREACH (CHURCH), 4849,S LINDBERGH BLVD,,1730,C
LINDBERGH SENIOR HIGH SCHOOL,5000,S LINDBERGH BLVD,,1730,C
HEARING PRO,5220,S LINDBERGH BLVD,,1730,C
EDWARD JONES,5222,S LINDBERGH BLVD,,1730,C
the skaters choice,5224,S LINDBERGH BLVD,,1730,C
hartman chiropractic,5226,S LINDBERGH BLVD,,1730,C
SHELTER INSURANCE COMPANY,5228,S LINDBERGH BLVD,,1730,C
Outback Steakhouse,5240,S LINDBERGH BLVD,,1730,C
floor trader,5244,S LINDBERGH BLVD,,1730,C
christ memorial pRESCHOOL,5250,S LINDBERGH BLVD,,1730,C
christ memorial lutheran church,5252,S LINDBERGH BLVD,,1730,C
CHRIST MEMORIAL LUTHERAN CHURCH,5252,S LINDBERGH BLVD,,1730,C
Reconciliation Christian bookstore,5252,S LINDBERGH BLVD,A,1730,C
INCREDIBLE PIZZA,5254,S LINDBERGH BLVD,,1730,C
Southwest Bank,5256,S LINDBERGH BLVD,,1730,C
TGI FRIDAYS,5262,S LINDBERGH BLVD,,1730,C
CONCORD TRINITY UNITED METHODiST CHURCH, 5275,S LINDBERGH BLVD,,1730,C
Christ Community Church, 5293,S LINDBERGH BLVD,,1730,C
Providence christian academy, 5293,S LINDBERGH BLVD,,1730,C
Marcus Theaters,5320,S LINDBERGH BLVD,before hours 314-756-9325,1730,C
waffle house,5330,S LINDBERGH BLVD,,1730,C
Bank of America,5353,S LINDBERGH BLVD,,1730,C
"Maddock, Henson, & Haberstroh",5353,S LINDBERGH BLVD,200,1730,C
vacant,5353,S LINDBERGH BLVD,250,1730,C
Kinsley & Sons Inc,5353,S LINDBERGH BLVD,250,1730,C
National City Bank,5400,S LINDBERGH BLVD,,1730,C
stewart & stewart CPA,5404,S LINDBERGH BLVD,,1730,C
vacant,5410,S LINDBERGH BLVD,,1730,C
MINUTEMAN PRESS,5419,S LINDBERGH BLVD,,1730,C
vacant,5421,S LINDBERGH BLVD,,1730,C
BEISHIR KEY & LOCK,5423,S LINDBERGH BLVD,,1730,C
BURGER KING,5447,S LINDBERGH BLVD,,1730,C
alcorn's citgo food mart,5470,S LINDBERGH BLVD,,1730,C
Midwest Hydroponics LLC,7535,S LINDBERGH BLVD,,1730,C
gateway house of prayer,11625,SAPPINGTON BARRACKS RD,,1730,C
bandana's bar-b-q - catering,11715,SAPPINGTON BARRACKS RD,,1730,C
MARTIN LUTHER EVANGELICAL CHURCH,10151,SAPPINGTON RD,,1730,C
PRINCE OF PEACe LUTH-MOTHERS DAY, 8646,SAPPINGTON RD,,1730,C
providence ref. presb. church,9124,SAPPINGTON RD,,1730,C
Lindbergh School Central Office,9350,SAPPINGTON RD,,1730,C
ST. CATHERINE LABOURE CHURCH, 9740,SAPPINGTON RD,,1730,C
ST. CATHERINE LABOURE SCHOOL, 9750,SAPPINGTON RD,,1730,C
LUTHERAN CHURCH OF THE RESURRECTION, 9907,SAPPINGTON RD,,1730,C
RESURRECTION Early Childhood Program, 9907,SAPPINGTON RD,,1730,C
MISS SHERI'S CAFETERIA,5406,SOUTHFIELD CTR,,1730,C
JET SET HAIR PRODUCTIONS,5412,SOUTHFIELD CTR,,1730,C
embroidme,5414,SOUTHFIELD CTR,,1730,C
FOOT SOLUTIONS,5416,SOUTHFIELD CTR,,1730,C
SOUTHVIEW DENTAL,5418,SOUTHFIELD CTR,,1730,C
back pain institute,5422,SOUTHFIELD CTR,,1730,C
COLDWELL BANKER gundaker,5425,SOUTHFIELD CTR,,1730,C
investors title co.,5426,SOUTHFIELD CTR,,1730,C
edward jones,5428,SOUTHFIELD CTR,,1730,C
COMMONWEALTH LAND TITLE INS. CO.,5430,SOUTHFIELD CTR,,1730,C
Schnucks,5434,SOUTHFIELD CTR,,1730,C
CROWN VISION,5438,SOUTHFIELD CTR,,1730,C
AMERICAN CLEANERS,5440,SOUTHFIELD CTR,,1730,C
u. s. title,5442,SOUTHFIELD CTR,,1730,C
robert's hallmark,5444,SOUTHFIELD CTR,,1730,C
citifinancial,5450,SOUTHFIELD CTR,,1730,C
U.S. NAILS,5452,SOUTHFIELD CTR,,1730,C
GREAT CLIPS,5454,SOUTHFIELD CTR,,1730,C
KINKOS,5458,SOUTHFIELD CTR,,1730,C
jefferson bank & Trust,5475,SOUTHFIELD CTR,,1730,C
Capital TITLE COMPANY OF MISSOURI,5479,SOUTHFIELD CTR,,1730,C
wells fargo home mortgage,5483,SOUTHFIELD CTR,,1730,C
Chick-fil-A Store #3077,10706,SUNSET HILLS PLZ,,1730,C
BURGER KING,10734,SUNSET HILLS PLZ,,1730,C
Sprint PCS,10738,SUNSET HILLS PLZ,,1730,C
St. Louis Bread company,10740,SUNSET HILLS PLZ,,1730,C
VACANT,10741,SUNSET HILLS PLZ,,1730,C
PEARL VISION,10742,SUNSET HILLS PLZ,,1730,C
JENNY CRAIG,10744,SUNSET HILLS PLZ,,1730,C
"SOUTH COUNTY DENTAL GROUP
",10745,SUNSET HILLS PLZ,,1730,C
SUNSET CYCLERY,10746,SUNSET HILLS PLZ,,1730,C
Jim's formal wear,10748,SUNSET HILLS PLZ,,1730,C
FUDDRUCKER'S RESTAURANT,10752,SUNSET HILLS PLZ,,1730,C
salon du jour,10753,SUNSET HILLS PLZ,,1730,C
SUBWAY,10754,SUNSET HILLS PLZ,,1730,C
heavenly ham,10756,SUNSET HILLS PLZ,,1730,C
funcoland,10757,SUNSET HILLS PLZ,,1730,C
art & frame gallery,10757 A,SUNSET HILLS PLZ,A,1730,C
CRAZY BOWLS AND WRAPS,10758,SUNSET HILLS PLZ,,1730,C
THE JOINT,10759,SUNSET HILLS PLZ,,1730,C
Dressel Elementary,10911,TESSON FERRY RD,,1730,C
SUNSET HILLS PARK SERVICES,12450,W WATSON RD,,1730,C
JOHNNY MAC'S SPORT GOODS,10100,WATSON RD,,1730,C
Casa Dia Montessori,10109,WATSON RD,,1730,C
"Discount Decorating Outlet
",10125,WATSON RD,,1730,C
SMUGALA'S PIZZA,10150,WATSON RD,,1730,C
WONDER/hostess bakery tHRIFT SHOP,10151....59,WATSON RD,,1730,C
venus nails,10202,WATSON RD,,1730,C
make it sew,10206,WATSON RD,,1730,C
DON DEFOE'S FLOWERS,10212,WATSON RD,,1730,C
MONIQUE'S HAIR FASHIONS,10214,WATSON RD,,1730,C
Zips Car Wash,10215,WATSON RD,,1730,C
VALVOLINE INSTANT OIL CHANGE,10229,WATSON RD,,1730,C
bank of america,10230,WATSON RD,,1730,C
LENS CRAFTERS,10275,WATSON RD,,1730,C
Extra Space Storage,10300,WATSON RD,,1730,C
ATT,10311,WATSON RD,,1730,C
World of Communications dba Boost Mobile,10315,WATSON RD,,1730,C
"WATSON ROAD car quest, iNC.",10327,WATSON RD,,1730,C
"james probst, md",10345....49,WATSON RD,,1730,C
VACANT,10390,WATSON RD,,1730,C
"robert tague, md",10400,WATSON RD,,1730,C
missouri title loans,10415,WATSON RD,,1730,C
pRESTIGE POOLS,10416,WATSON RD,,1730,C
AUTOMOTIVE SERVICES,10425,WATSON RD,,1730,C
SESAME CHINESE RESTAURANT,10500,WATSON RD,,1730,C
game force,10501,WATSON RD,,1730,C
EDELEN'S DOOR CO.,10505,WATSON RD,,1730,C
SANDY'S CARPET WORLD,10509,WATSON RD,,1730,C
ST. LOUIS HARWOOD,10515,WATSON RD,,1730,C
MIDAS MUFFLER SHOP,10542,WATSON RD,,1730,C
DENNY'S RESTAURANT,10575,WATSON RD,,1730,C
hearland insurance,1520,WINDWARD RIDGE DR,,1730,C
Trautwein Elementary School,5011,AMBS RD,,1740,A
Washington Middle School,5165,AMBS RD,,1740,A
CRESTWOOD ELKS LODGE,10261,BAUER RD,,1740,A
HUNTCO PAWN,13002,BUTLER CREST DR,,1740,A
Herrick Dental Care,13010,BUTLER CREST DR,,1740,A
"BENDER & CO. CPA'S, PC",13014,BUTLER CREST DR,,1740,A
Coldwell Banker,4042,BUTLER HILL RD,,1740,A
DELMAR GARDENS SOUTH,5300,BUTLER HILL RD,,1740,A
DELMAR GARDENS SOUTH day care,5300,BUTLER HILL RD,,1740,A
"Avalon Memory Care, LLC",5322,BUTLER HILL RD,,1740,A
KETC-TV CHANNEL 9,5489,BUTLER HILL RD,,1740,A
THE VILLAGE OF BUTLER HILL APTS.,13109,BUTLER OAK DR,#1,1740,A
vacant-main,5000,CEDAR PLAZA PKWY,,1740,A
vacant,5000,CEDAR PLAZA PKWY,120,1740,A
SHAMEL & COmpany,5000,CEDAR PLAZA PKWY,210,1740,A
albanna neurosurgical consultants,5000,CEDAR PLAZA PKWY,220,1740,A
dr. lange,5000,CEDAR PLAZA PKWY,230,1740,A
aesthetic dermatologic surgery,5000,CEDAR PLAZA PKWY,240,1740,A
vacant,5000,CEDAR PLAZA PKWY,350,1740,A
DEERFIELD APTS.,5178,DEERFIELD CIRCLE DR,,1740,A
PARQUE CENTER-DUCHESNE PARQUE CONDO CLUBHOUSE,5546,DUCHESNE PARQUE DR,,1740,A
VILLAGE ROYALE APartments,5602,DUESSEL LN,,1740,A
SOUTHMOOR APTS. CLUB HOUSE,5182,GOLF RIDGE LN,,1740,A
BAHN COMMERCIAL SERVICES,5024,GRIFFIN RD,,1740,A
SEALING SPECIALISTS,5030,GRIFFIN RD,,1740,A
esse health,5034,GRIFFIN RD,,1740,A
precision import auto service,5050,GRIFFIN RD,,1740,A
Edward Jones,5062,GRIFFIN RD,,1740,A
Hagemann Elementary School,6401,HAGEMANN RD,,1740,A
st. louis county nepharology,10004,KENNERLY RD,103 A,1740,A
SO. CO. SURGICAL SERVICES,10004,KENNERLY RD,110,1740,A
ardekani stress center,10004,KENNERLY RD,112,1740,A
kairuz and santos family medicine,10004,KENNERLY RD,115,1740,A
ST. LOUIS EYE CLINIC,10004,KENNERLY RD,120,1740,A
unity eye care,10004,KENNERLY RD,125,1740,A
ST. ANTHONY's PROFESSIONAL Pharmacy,10004,KENNERLY RD,130,1740,A
kennerly surgical group,10004,KENNERLY RD,135 & 137,1740,A
samc charitable fdn,10004,KENNERLY RD,150,1740,A
HNP MCSHANE LLC,10004,KENNERLY RD,155 A,1740,A
Dr Thampy,10004,KENNERLY RD,160-B,1740,A
,10004,KENNERLY RD,165-B,1740,A
"dilip patel, md",10004,KENNERLY RD,171-B,1740,A
ALLERGY CARE SPECIALISTS (DR. COOPER),10004,KENNERLY RD,180-B,1740,A
"metro ear, nose, & throat group",10004,KENNERLY RD,183-B,1740,A
missouri surgical,10004,KENNERLY RD,186-B,1740,A
dr. sharda,10004,KENNERLY RD,200-A,1740,A
"samuel sAMIMI, md",10004,KENNERLY RD,210,1740,A
dr. patrick,10004,KENNERLY RD,230,1740,A
"SCOTT ZOELLER, Dds",10004,KENNERLY RD,235,1740,A
"DAVID GOODMAN, DDS",10004,KENNERLY RD,240,1740,A
"COUNTY CARDIOLOGY, INC.",10004,KENNERLY RD,247,1740,A
"vINCENT FORTUANTO, md",10004,KENNERLY RD,255,1740,A
" NAIDu, md",10004,KENNERLY RD,257,1740,A
hand surgery associates,10004,KENNERLY RD,259-B,1740,A
"ivonne negron, md",10004,KENNERLY RD,260 -A,1740,A
"peter lee, md",10004,KENNERLY RD,268-B,1740,A
"dundoo, md",10004,KENNERLY RD,271-B,1740,A
SOUTH county ORTHOPEDIC,10004,KENNERLY RD,274-B,1740,A
vacant,10004,KENNERLY RD,280-B,1740,A
zia ahmad & rashid qureshi,10004,KENNERLY RD,283-B,1740,A
"JAMES PURTELL, MD",10004,KENNERLY RD,286-B,1740,A
VACANT,10004,KENNERLY RD,289-B,1740,A
"EUGENE ADELMANN, MD",10004,KENNERLY RD,292-B,1740,A
"MARIO SALINAS, md",10004,KENNERLY RD,295-B,1740,A
"L. VOLLMAR, MD",10004,KENNERLY RD,300,1740,A
"george thampy, md",10004,KENNERLY RD,310-A,1740,A
ST. LOUIS NEPHROLOGY ASSOC.,10004,KENNERLY RD,315,1740,A
smith surgical services,10004,KENNERLY RD,330 A,1740,A
m.o.b. rent-a-day,10004,KENNERLY RD,335,1740,A
james e lenaham,10004,KENNERLY RD,340,1740,A
CARDIOLOGy & CRITICAL CARE,10004,KENNERLY RD,345-A,1740,A
southwest womens health,10004,KENNERLY RD,350,1740,A
ST. LOUIS HILLS UROLOGICAL ASSOC.,10004,KENNERLY RD,360,1740,A
c group/psychiatric service,10004,KENNERLY RD,362-B,1740,A
"idxpert, p c",10004,KENNERLY RD,365-B,1740,A
DERMATOLOGICAL CARE INC.,10004,KENNERLY RD,368-B,1740,A
nephrology & hypertension specialist,10004,KENNERLY RD,374-B,1740,A
st. gerard obstetrics,10004,KENNERLY RD,386-B,1740,A
METROPOLITAN NEUROLOGY LTD.,10004,KENNERLY RD,391-B,1740,A
metropolitan neurology,10004,KENNERLY RD,391-B,1740,A
"sanjay bhat, md",10004,KENNERLY RD,392-B,1740,A
vacant,10004,KENNERLY RD,395-B,1740,A
"DAVID COSTIGAN, md",10007,KENNERLY RD,,1740,A
vacant,10007,KENNERLY RD,,1740,A
dr. harry eggleston laser center,10007,KENNERLY RD,,1740,A
"HEART OF AMERICA,LLC",10007,KENNERLY RD,A,1740,A
vacant,10007,KENNERLY RD,F,1740,A
ST. ANTHONY'S MEDICAL CENTER,10010,KENNERLY RD,,1740,A
samc - heart center,10012,KENNERLY RD,,1740,A
samc - parking garage,10012,KENNERLY RD,,1740,A
St. Louis Oncology,10012,KENNERLY RD,100,1740,A
St. Louis Gastroenterology Consultants,10012,KENNERLY RD,101,1740,A
Dr Bowe,10012,KENNERLY RD,102,1740,A
St Anthony's Physician Organization,10012,KENNERLY RD,104,1740,A
SAHC - Cardiac Rehabilitation,10012,KENNERLY RD,105,1740,A
Midwest Cardiovascular Center,10012,KENNERLY RD,203,1740,A
Metro Heart Group,10012,KENNERLY RD,300,1740,A
Gateway Cardiology,10012,KENNERLY RD,301,1740,A
cardiology consultants,10012,KENNERLY RD,305,1740,A
Cardiology Consultants of St. Louis County,10012,KENNERLY RD,305,1740,A
SAHC - Heart Center - CAFE,10012,KENNERLY RD,3rd floor,1740,A
SAHC - Microsurgery & Brain Research Institute - Dr. Young,10012,KENNERLY RD,400,1740,A
Urogynecologic Consultants,10012,KENNERLY RD,403,1740,A
Professional Physician's Pain Service,10012,KENNERLY RD,404,1740,A
Women's Health Partners,10012,KENNERLY RD,405,1740,A
Fitness Center,10012,KENNERLY RD,4th & 5th Fl.,1740,A
ST. ANTHONY'S anthony house,10016,KENNERLY RD,,1740,A
"hyland behavorial health - bldg ""B""",10018,KENNERLY RD,Bldg B,1740,A
HYLAND education & Sleep lab & lindenwood college,10020,KENNERLY RD,Bldg A,1740,A
Degreef hospice house,10024,KENNERLY RD,,1740,A
KENNERLY ELEMENTARY SCHOOL,10025,KENNERLY RD,,1740,A
HEFFERNAN HOUSE,10044,KENNERLY RD,,1740,A
Mercy Cancer Center,10070,KENNERLY RD,,1740,A
"KENNERLY DENTAL GROUP, INC.",5445,KENNERLY RD,111,1740,A
vacant,9900,KENNERLY RD,,1740,A
KENNERLY DENTAL GROUP,9906,KENNERLY RD,,1740,A
"Tekwani, md",9911,KENNERLY RD,A,1740,A
"ken Herrick, Dds",9911,KENNERLY RD,B,1740,A
,9911,KENNERLY RD,C,1740,A
st.Louis So.Oral & Maxillofacial-Dr. Wellman ,9911,KENNERLY RD,D & E,1740,A
"marius evans, dds",9911,KENNERLY RD,G,1740,A
St. Louis So. Orthodontics-Dr. Sueme,9911,KENNERLY RD,H,1740,A
National City,9914,KENNERLY RD,,1740,A
"ROBERT R. SCHLUETER, DDS",9914,KENNERLY RD,2,1740,A
national city mortgage,9914,KENNERLY RD,2ND FLR,1740,A
DR. WILLIE,9915,KENNERLY RD,,1740,B
cotton babies,9916,KENNERLY RD,,1740,B
walgreens,9918,KENNERLY RD,A,1740,B
ST. LOUIS BREAD CO.,9922,KENNERLY RD,,1740,B
WALTER KNOLL FLORIST,9926,KENNERLY RD,,1740,B
K & S Cleaners,9928,KENNERLY RD,,1740,B
HAIR PERFECTIONS,9930,KENNERLY RD,,1740,B
PUZZLE WAREHOUSE,9932,KENNERLY RD,,1740,B
Li-yuan RESTaURANT,9934,KENNERLY RD,,1740,B
gmac mortgage,9936,KENNERLY RD,,1740,B
dulany's grill & pub,9940,KENNERLY RD,,1740,B
WEDDING STORE,9942,KENNERLY RD,,1740,B
INSTY PRINTS,9944,KENNERLY RD,,1740,B
scottrade,9946,KENNERLY RD,,1740,B
AAA,9948,KENNERLY RD,,1740,B
PHOENIX PHOTO,9950....52,KENNERLY RD,,1740,B
CLASSROOM CONNECTIONS,9954,KENNERLY RD,,1740,B
fontbonne college,9960,KENNERLY RD,A&B,1740,B
hair saloon for men,9960,KENNERLY RD,C,1740,B
vacant,9960,KENNERLY RD,D,1740,B
JET SET HAIR,9964,KENNERLY RD,A,1740,B
"PAPERBACKS, ETC, junes",9964,KENNERLY RD,B,1740,B
uniforms for u,9964,KENNERLY RD,C,1740,B
BLOCKBUSTER VIDEO,9964,KENNERLY RD,D...F,1740,B
JACK-IN-THE-BOX, 9970,KENNERLY RD,,1740,B
walgreens,9978,KENNERLY RD,,1740,B
Apostolic faith church,5000,KERTH RD,,1740,B
MARY MOTHER OF THE CHURCH, 5901,KERTH RD,,1740,B
"CHURCH IN ACTION, INC",6010,KERTH RD,,1740,B
BEN FRANKLIN,12616,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
LAMPLIGHTER OFFICE SUITES,12620,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
SALON ANTEBELLUM,12630,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
MASTER PLAN HEARING,12636,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
LAMPLIGHTER HAIR AWARE,12638,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
master plan hearing aids,12650,LAMPLIGHTER SQR SHPPNG CTR,C,1740,B
davita dialysis,12654,LAMPLIGHTER SQR SHPPNG CTR,,1740,B
vacant,12660,LAMPLIGHTER SQR SHPPNG CTR,A ,1740,B
"RICHARD HELFRICH, DDS",12660,LAMPLIGHTER SQR SHPPNG CTR,F,1740,B
